Date,Sales,Promotion
2018-01-01,13581.83,0
2018-02-01,13348.3,0
2018-03-01,14220.16,1
2018-04-01,14456.32,0
2018-05-01,12698.69,0
2018-06-01,12764.53,1
2018-07-01,12081.06,0
2018-08-01,12071.4,1
2018-09-01,10979.29,0
2018-10-01,11151.48,0
2018-11-01,12068.88,0
2018-12-01,14347.78,1
2019-01-01,13846.49,0
2019-02-01,15683.2,1
2019-03-01,13931.36,0
2019-04-01,14843.64,0
2019-05-01,13926.0,0
2019-06-01,12943.67,0
2019-07-01,13022.18,1
2019-08-01,11923.58,0
2019-09-01,12323.21,0
2019-10-01,11467.6,0
2019-11-01,13751.88,1
2019-12-01,14454.67,1
2020-01-01,14718.56,0
2020-02-01,16207.84,0
2020-03-01,16382.1,0
2020-04-01,16679.1,0
2020-05-01,15365.76,0
2020-06-01,14233.31,0
2020-07-01,13565.07,0
2020-08-01,14031.93,1
2020-09-01,12836.94,0
2020-10-01,12486.21,0
2020-11-01,13834.53,0
2020-12-01,14968.74,0
2021-01-01,17222.34,0
2021-02-01,17779.08,0
2021-03-01,16843.03,0
2021-04-01,17009.11,0
2021-05-01,15806.69,0
2021-06-01,15981.32,1
2021-07-01,14793.6,0
2021-08-01,14505.17,0
2021-09-01,14476.92,1
2021-10-01,14973.42,1
2021-11-01,13660.24,0
2021-12-01,15785.09,0
2022-01-01,16513.59,0
2022-02-01,17710.14,0
2022-03-01,17987.82,0
2022-04-01,18248.07,0
2022-05-01,17494.77,1
2022-06-01,,0
2022-07-01,16659.22,0
2022-08-01,15042.6,1
2022-09-01,13967.06,0
2022-10-01,15742.06,0
2022-11-01,17131.02,0
2022-12-01,,0
2023-01-01,17941.88,0
2023-02-01,,0
2023-03-01,20447.2,0
2023-04-01,18944.17,0
2023-05-01,18606.58,0
2023-06-01,18054.54,0
2023-07-01,16770.78,0
2023-08-01,15525.76,0
2023-09-01,15331.94,0
2023-10-01,15033.75,0
2023-11-01,16503.99,0
2023-12-01,17756.83,0
2024-01-01,,1
2024-02-01,19965.6,0
2024-03-01,20975.22,0
2024-04-01,21086.36,0
2024-05-01,19902.33,0
2024-06-01,18869.95,0
2024-07-01,17538.78,0
2024-08-01,17249.07,1
2024-09-01,15921.47,0
2024-10-01,16777.05,0
2024-11-01,18653.27,1
2024-12-01,19948.41,0
2025-01-01,21075.08,0
2025-02-01,21570.38,0
2025-03-01,21514.53,0
2025-04-01,21166.19,0
2025-05-01,21515.59,0
2025-06-01,19853.65,0
2025-07-01,18711.07,0
2025-08-01,16653.15,0
2025-09-01,17629.36,0
2025-10-01,17743.61,0
2025-11-01,17957.06,0
2025-12-01,,0
